parameter,regime,regime_label,q025,q50,q975
mu,0,hmm_prob_state_0,0.0015535717067794673,0.0022027264315582153,0.0028760335925999726
mu,1,hmm_prob_state_1,-0.0005135873546981333,-2.353932570182777e-05,0.00038988405621215007
mu,2,hmm_prob_state_2,-0.0023083314869185795,-0.0014718285484695102,-0.0006783373282776697
mu,3,hmm_prob_state_3,8.919418786164082e-05,0.0013820128610886884,0.002619553336829063
c,0,hmm_prob_state_0,0.8004487574100494,0.8527852892875671,0.9066031575202942
c,1,hmm_prob_state_1,0.7391508638858795,0.7841865122318268,0.8302117794752121
c,2,hmm_prob_state_2,0.8195130348205566,0.8761837184429169,0.9359015792608261
c,3,hmm_prob_state_3,0.8940434560179711,0.9504088759422302,1.0120811641216279
nu,0,hmm_prob_state_0,6.712477231025696,8.123531341552734,9.879095840454097
nu,1,hmm_prob_state_1,6.712477231025696,8.123531341552734,9.879095840454097
nu,2,hmm_prob_state_2,6.712477231025696,8.123531341552734,9.879095840454097
nu,3,hmm_prob_state_3,6.712477231025696,8.123531341552734,9.879095840454097
