horizon,state,mean_forward_return
5,0,-0.003220874849915547
5,1,0.014812410482689024
5,2,0.005749850006518353
5,3,-0.00948019092790857
20,0,-0.0029425843302036702
20,1,0.03989342647064619
20,2,0.01490401033542467
20,3,-0.013184002418363632
60,0,0.03028468167083397
60,1,0.06817876892175936
60,2,0.04459295669175175
60,3,-0.022921758500843964
